Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Flow IAT Mean,Flow IAT Std,Flow Packets/s,Label
84398,11,15,6678,352,9.828377,1.943978,2.391981,BENIGN
103578,17,14,6474,428,6.511154,3.291765,4.002395,BENIGN
198058,16,18,21576,606,18.258716,9.892879,5.974437,BENIGN
432141,3043,3114,615549,839,0.438079,0.100251,82.93204,DDoS
147293,24,16,10653,342,6.705819,7.472557,4.16459,BENIGN
397768,17,17,12244,1219,13.806819,6.434519,1.018896,BENIGN
240208,1630,1178,547594,1500,0.293755,0.250792,24.630004,DDoS
39267,14,14,9047,929,58.152351,1.891375,45.505731,BENIGN
155777,17,9,19099,543,27.216115,10.710348,7.49585,BENIGN
43168,26,10,4542,508,11.656993,2.562067,13.662225,BENIGN
55817,18,15,4670,1302,37.035082,15.32791,3.408486,BENIGN
290674,2106,1097,781002,1011,1.40501,0.240521,68.2846,DDoS
299017,2930,3472,1147070,854,0.985257,0.402088,53.560449,DDoS
361275,19,9,7434,317,7.45565,3.237925,19.70995,BENIGN
243573,2164,861,550207,1500,0.560018,0.134972,119.516256,DDoS
122226,17,18,14556,323,35.468978,3.69589,14.899977,BENIGN
62912,21,15,4210,534,21.426449,4.852172,10.608438,BENIGN
154485,10650,4041,1332483,1500,0.328548,0.105098,54.154617,DDoS
206241,9520,3244,1424154,1033,0.334495,0.120504,77.293145,DDoS
152834,2385,2045,787619,1500,0.366296,0.107903,44.685736,DDoS
74245,18,12,19834,375,15.722181,10.149545,3.301331,BENIGN
151037,17,14,3143,566,54.236775,7.113962,18.513453,BENIGN
313836,1513,1252,1014298,699,0.632575,0.10335,80.731528,DDoS
151429,14,17,3592,268,20.23789,8.559899,4.280796,BENIGN
158256,824,1007,852983,1470,1.23548,0.091809,64.182004,DDoS
101644,19,10,4061,415,12.367409,2.183847,6.745021,BENIGN
236846,3481,1155,401282,1500,0.26192,0.592837,86.458297,DDoS
218403,1680,1248,2160548,1464,0.346569,0.196826,47.824957,DDoS
146367,12,13,8265,509,9.877399,7.361347,0.967527,BENIGN
266451,4727,1811,961603,928,0.192004,0.085863,66.025062,DDoS
138398,22,9,12521,728,34.81407,1.620365,35.880749,BENIGN
395044,3284,3857,443447,1122,0.363967,0.113987,76.950066,DDoS
220379,1306,3886,1133570,613,0.930948,0.211676,222.761916,DDoS
56628,17,7,6822,552,11.078081,5.375984,3.013503,BENIGN
106038,789,1442,2083642,1500,0.69919,0.101039,27.224156,DDoS
52515,14,11,13619,410,40.213903,7.524621,3.154344,BENIGN
237252,21,12,2754,473,35.394947,6.847152,40.361975,BENIGN
357766,18,20,9774,1106,12.271926,4.460019,8.325603,BENIGN
495793,1266,4089,1019681,1500,0.847975,0.099326,101.963806,DDoS
106245,25,14,3272,741,11.827001,7.554087,4.243483,BENIGN
135487,22,9,6523,1059,14.552066,3.312785,10.344796,BENIGN
343827,1750,1352,1591012,1385,0.509488,0.353656,165.405393,DDoS
106987,22,18,13129,585,20.17346,3.310069,57.721154,BENIGN
154852,14,11,20197,1500,6.698378,6.459971,10.518051,BENIGN
307479,6279,879,1985643,1256,0.322848,0.196978,96.078715,DDoS
257964,2222,792,868851,1500,0.264948,0.093388,75.589695,DDoS
297288,2327,1290,505549,1500,0.222116,0.162813,53.273833,DDoS
186907,4010,604,436281,900,0.325078,0.079317,56.365439,DDoS
311547,1779,5475,424315,1500,0.587309,0.67113,57.09982,DDoS
120457,18,18,31642,588,9.583472,4.079613,9.47717,BENIGN
42129,22,14,20465,380,25.172198,6.010361,11.6444,BENIGN
227680,2285,1408,439586,1500,0.197732,0.300501,94.723381,DDoS
133765,2172,3087,786922,1500,0.536512,0.285616,46.892806,DDoS
455240,3468,965,1402069,1447,0.861348,0.088901,73.662276,DDoS
207895,17,12,23144,339,23.061567,3.78654,4.615992,BENIGN
96000,9,10,11406,590,14.623034,20.781002,7.60976,BENIGN
88007,1197,859,1656066,1236,0.188961,0.132241,65.110186,DDoS
292054,4130,3686,937014,1500,0.698636,0.145088,31.806273,DDoS
108093,19,14,11719,237,16.319648,6.362864,9.025458,BENIGN
449040,5423,2657,915381,1500,0.160121,0.095872,40.049152,DDoS
521633,2337,1158,468521,1500,0.282889,0.203803,25.727385,DDoS
398302,5842,1443,508021,1072,0.633948,0.32357,63.351038,DDoS
284085,17,14,40246,469,13.634976,5.45265,3.580039,BENIGN
264113,16,12,7952,677,24.966518,6.610529,5.966503,BENIGN
151895,22,13,4556,1278,21.587008,4.043651,10.572156,BENIGN
211381,3556,2701,778415,687,0.247826,0.520071,78.052749,DDoS
87342,19,16,16989,721,18.217486,24.952455,5.913046,BENIGN
118002,15,12,3416,787,12.319452,1.654454,8.017703,BENIGN
92121,21,12,8601,201,23.141942,3.521223,11.763831,BENIGN
155765,11,19,2643,577,25.192612,17.813527,4.60929,BENIGN
138194,21,13,8630,313,14.646184,2.60779,6.619,BENIGN
103076,21,13,1653,270,15.860113,7.921116,17.163705,BENIGN
271245,17,13,30339,886,16.26109,6.476569,5.32285,BENIGN
425662,2308,1251,818024,977,1.119197,0.07558,53.91413,DDoS
215256,28,13,9330,545,25.82659,8.135593,11.726317,BENIGN
302528,2829,2353,1110849,1500,0.389956,0.088133,37.851087,DDoS
156494,10,15,9774,111,18.837257,8.979082,17.769029,BENIGN
45885,22,10,4549,683,25.323812,4.638324,4.788605,BENIGN
163905,16,14,10741,627,8.32343,7.893549,12.891287,BENIGN
173744,18,18,7769,366,14.098463,5.081063,5.14508,BENIGN
85194,12,19,17748,281,14.266026,11.11029,18.823478,BENIGN
240527,1789,2028,950281,1500,0.960076,0.208163,81.085904,DDoS
174949,4566,1933,1995619,1500,0.554098,0.107309,52.215795,DDoS
216843,20,14,19520,357,11.998001,2.373065,12.361208,BENIGN
74495,12,11,10790,1379,18.249359,5.209039,6.756218,BENIGN
99712,18,13,8877,303,8.86311,8.704953,7.049233,BENIGN
158083,10,13,14537,549,33.655168,12.725984,6.612153,BENIGN
233319,863,1224,846376,978,0.171774,0.196587,83.867798,DDoS
61379,20,17,8013,479,17.906302,2.436708,8.540313,BENIGN
253271,19,10,6245,544,11.195411,2.870084,16.03034,BENIGN
188211,11,13,7125,974,5.857364,8.716254,24.190603,BENIGN
76810,16,16,6232,887,30.354454,6.227676,11.820535,BENIGN
314283,1532,5503,658795,1064,0.843245,0.033658,83.628072,DDoS
224645,3322,2461,709204,1327,0.206178,0.097075,88.177141,DDoS
127347,24,20,19197,376,7.978444,5.60296,7.52775,BENIGN
306839,19,12,12801,418,17.258788,8.778808,3.313877,BENIGN
147563,21,14,1940,381,5.775958,14.665354,9.495415,BENIGN
190225,5386,1147,1972764,1364,0.384003,0.072354,57.204625,DDoS
390573,9315,1969,771025,702,0.289757,0.654592,53.382192,DDoS
390383,1416,2600,1692359,614,1.140468,0.091575,56.353262,DDoS
98142,1333,4159,465513,1500,0.728317,0.070577,33.164766,DDoS
276962,4022,3152,611678,1206,0.927673,0.070388,43.79054,DDoS
183461,3008,3289,587855,864,1.06582,0.196571,63.231248,DDoS
98182,17,20,9790,744,26.381505,3.27753,4.389649,BENIGN
382439,1662,1223,597742,1342,0.552351,0.086559,34.634026,DDoS
115867,16,16,25700,448,25.7525,6.351674,2.681848,BENIGN
199009,4087,950,835895,877,0.535396,0.100346,45.108672,DDoS
96586,16,16,10770,1325,6.273481,16.321009,3.780198,BENIGN
170690,21,18,4546,457,16.289814,4.056329,4.587697,BENIGN
203471,2341,4254,616562,1264,0.524371,0.337612,55.732051,DDoS
247399,26,9,8344,364,27.993217,20.563422,10.750353,BENIGN
64935,19,15,5361,289,7.919585,8.117256,4.286415,BENIGN
247180,7407,2271,1046173,1500,0.359213,0.20814,27.465875,DDoS
13443,16,14,18453,509,34.674916,3.773021,13.289789,BENIGN
138723,15,16,4141,1252,5.092294,1.284284,10.658222,BENIGN
149488,15,17,20365,519,19.693994,4.33925,2.911372,BENIGN
261784,28,19,12291,149,19.313247,7.982182,10.115203,BENIGN
65245,17,19,11814,775,76.445071,28.345221,5.767404,BENIGN
113890,20,17,25326,290,16.447628,3.850634,4.366858,BENIGN
442266,2315,1203,913298,1500,0.677367,0.110536,90.601212,DDoS
63068,22,8,13393,530,29.654589,5.879203,14.661069,BENIGN
463562,1401,2912,747623,1029,0.493268,0.054966,56.594682,DDoS
192173,17,12,20162,670,6.745838,4.187217,14.582243,BENIGN
76383,16,11,57800,287,25.128144,8.664562,11.125582,BENIGN
42568,14,16,13851,307,31.89007,0.800326,5.423788,BENIGN
66446,19,19,2456,693,23.1047,7.236581,1.210359,BENIGN
546093,571,1206,811246,1072,0.545533,0.335212,83.042017,DDoS
465523,554,2725,905874,1500,0.496332,0.13673,48.976829,DDoS
283137,4083,4086,1310067,1500,0.715897,0.266097,62.908633,DDoS
115265,2242,2577,1390644,1500,0.354725,0.263675,40.523818,DDoS
54144,16,10,14164,384,5.814616,23.373638,7.506636,BENIGN
149680,1899,4515,1460740,1500,0.726714,0.774897,90.126827,DDoS
157226,28,9,14814,1500,32.080756,4.790655,21.315587,BENIGN
108563,16,15,21687,1091,37.137064,5.487669,6.842414,BENIGN
648150,1438,1157,1127476,1500,0.212414,0.188779,58.677715,DDoS
411576,6650,1822,943449,1500,0.416337,0.359566,49.255803,DDoS
29587,18,10,13267,550,33.537115,4.837481,13.472661,BENIGN
140306,3446,3271,457295,1016,0.222455,0.238471,82.687471,DDoS
352845,17,10,8452,714,29.924234,21.525729,2.672758,BENIGN
363451,2890,1893,1256464,1340,0.314193,0.103812,55.798672,DDoS
38564,27,11,13147,1476,33.204485,2.187799,4.739946,BENIGN
236987,8623,2082,378865,1312,0.72061,0.248512,33.450285,DDoS
289624,1048,1562,420511,1340,0.393215,0.16827,65.297118,DDoS
139319,13,13,10357,661,7.756861,14.060793,4.242725,BENIGN
87395,3035,1582,1192286,1500,0.608256,0.182777,51.54808,DDoS
292494,24,12,1951,391,27.092999,6.725007,17.287347,BENIGN
56881,19,14,4680,695,49.389098,8.942958,10.088983,BENIGN
64486,17,20,18936,830,13.3515,4.340036,4.545045,BENIGN
269385,6333,759,1037861,1315,0.192714,0.482771,33.584274,DDoS
194573,1768,1598,928292,1500,1.009665,0.083278,45.885996,DDoS
300834,20,13,4986,365,7.322768,3.811281,5.208011,BENIGN
485569,1067,1276,610460,1500,0.436083,0.413127,23.139096,DDoS
257794,27,17,9881,496,10.463537,3.900794,5.938345,BENIGN
77832,19,12,8009,501,7.660923,16.106966,4.162098,BENIGN
302701,557,1349,1290855,1255,0.332254,0.094485,79.429109,DDoS
84189,22,13,8447,179,25.431338,3.019704,3.275291,BENIGN
124966,15,11,15373,239,32.490682,4.666059,15.723878,BENIGN
46236,21,11,15192,799,15.546411,4.782511,1.800992,BENIGN
182715,20,12,9857,1313,4.149933,11.209791,5.702342,BENIGN
121011,24,19,3814,1003,36.833677,3.019905,8.458331,BENIGN
31076,18,9,21517,467,14.52908,3.27876,3.603179,BENIGN
359540,2515,4137,1767208,1500,0.656798,0.278232,66.782822,DDoS
166735,7157,1417,4076111,1500,0.483812,0.126544,123.663093,DDoS
287298,18,16,5338,704,12.827405,5.308201,3.448585,BENIGN
57520,22,8,51575,793,18.964679,10.032177,5.898466,BENIGN
113271,22,15,5095,430,3.119818,6.537609,3.594613,BENIGN
101146,17,17,6089,497,16.271806,7.542515,11.628528,BENIGN
108841,17,14,9093,504,15.986865,8.680543,6.869625,BENIGN
82422,2015,617,852203,1500,0.38778,0.064616,35.184148,DDoS
428909,2506,1740,2691756,795,1.137917,0.263246,38.527744,DDoS
236709,17,18,5835,467,16.685892,5.255232,11.905776,BENIGN
109374,17,21,11403,524,9.410679,8.517636,23.18551,BENIGN
247228,2342,1945,655490,1401,0.446473,0.280503,34.021502,DDoS
170584,18,12,8596,456,20.435585,24.279603,7.89209,BENIGN
112775,12,12,21551,726,16.080747,6.985836,15.55111,BENIGN
52804,17,16,22153,432,6.748086,6.176738,7.685112,BENIGN
103592,14,14,18477,757,11.480407,3.152691,6.709759,BENIGN
651922,3221,1811,1015853,1500,0.323337,0.120554,119.370724,DDoS
122711,15,11,4882,778,32.675711,4.996413,11.66595,BENIGN
227824,18,11,11111,991,20.886971,3.347003,18.797228,BENIGN
230678,14,12,8911,238,16.468478,2.124432,4.176895,BENIGN
210337,2785,2673,1776083,1463,0.284314,0.12976,45.786445,DDoS
120434,15,18,12393,806,41.318731,22.368517,21.566697,BENIGN
176529,25,12,10358,1084,8.608338,3.83049,2.180945,BENIGN
149241,18,18,6631,1081,17.308327,13.885089,9.0821,BENIGN
108693,19,17,6717,221,27.697037,13.025019,16.631209,BENIGN
272731,3168,3133,1469464,1500,0.272317,0.172016,52.683721,DDoS
342217,4137,2423,1187999,1500,0.246958,0.524673,67.065309,DDoS
40003,19,16,20075,1176,5.977787,3.932144,13.19293,BENIGN
95640,24,19,23837,315,14.702235,2.703028,5.797217,BENIGN
111702,4122,1375,1280265,1352,0.730121,0.23747,41.850417,DDoS
182850,18,16,9885,1473,29.010717,4.203351,3.283006,BENIGN
242946,5373,2280,690153,1223,0.498995,0.058899,61.140052,DDoS
104918,13,16,3507,1248,6.723848,1.402635,20.215301,BENIGN
157782,1563,1619,2734921,1500,0.505449,0.20095,74.698979,DDoS
227535,1063,2982,1045800,917,0.707172,0.545046,60.563203,DDoS
274918,3400,849,829471,1086,0.636197,0.40472,48.318869,DDoS
316467,12,15,6104,553,34.331963,3.879131,5.918468,BENIGN
122625,21,13,3849,788,27.024026,7.546909,3.026749,BENIGN
26748,29,17,1185,490,15.917248,6.114161,8.959149,BENIGN
380107,2046,1289,1735714,1500,0.42534,0.169599,39.852942,DDoS
143358,25,11,6065,813,71.721773,8.257272,26.582054,BENIGN
39314,16,17,16271,692,38.311812,8.420908,13.105969,BENIGN
318079,3012,2386,980306,1380,1.503855,0.302739,39.416629,DDoS
28529,18,15,5879,858,34.047588,5.058546,5.847167,BENIGN
104819,17,13,11328,1500,85.832045,2.333978,32.111878,BENIGN
140857,1507,1614,400873,1500,0.842614,0.28766,40.723457,DDoS
87339,20,11,12421,1166,102.478408,10.793187,11.004748,BENIGN
24138,19,11,8578,403,18.862771,3.445226,7.582057,BENIGN
132651,1551,2741,620936,1422,0.351687,0.143183,28.929031,DDoS
99090,28,14,7921,355,18.476234,6.846958,11.019306,BENIGN
288467,898,1392,1104064,1500,0.266698,0.173547,49.705357,DDoS
120216,19,14,4006,1500,11.711919,4.095418,9.908988,BENIGN
63800,19,15,5144,743,24.510247,7.420507,7.126341,BENIGN
236406,19,14,10307,462,24.336694,6.530181,6.859038,BENIGN
570262,22,14,14307,447,11.800957,2.988092,5.389268,BENIGN
83519,1317,2491,1195592,1500,0.559244,0.206307,83.501162,DDoS
137492,25,12,9507,337,117.457378,5.59196,15.399542,BENIGN
50331,25,17,14176,475,37.720659,6.355296,11.019966,BENIGN
83022,18,14,53698,567,15.909918,3.878556,24.156169,BENIGN
263093,2328,3387,3049362,1500,0.897525,0.144629,48.911702,DDoS
210387,2367,4809,527475,1500,0.166594,0.276472,65.813017,DDoS
174661,15,14,28900,800,11.25663,4.204593,6.935949,BENIGN
206304,2746,1725,704086,1500,0.264221,0.095629,75.590161,DDoS
88248,19,15,6215,459,12.094878,10.234515,7.225949,BENIGN
90790,1550,1434,483397,1500,0.410895,0.124501,52.548101,DDoS
160547,15,21,29726,1500,24.220216,1.821312,23.099659,BENIGN
230292,1998,1836,1297311,1450,0.625396,0.145349,39.52715,DDoS
199426,20,11,5239,421,15.541649,14.503213,8.820444,BENIGN
73307,16,8,4086,348,10.993318,7.272252,9.308117,BENIGN
176594,17,16,6772,955,2.830971,5.269339,8.786642,BENIGN
520385,13,16,8093,676,6.35676,4.574125,9.872952,BENIGN
279086,3012,2476,543099,1500,0.364154,0.515186,69.166507,DDoS
242593,2146,1994,1181153,1424,0.361619,0.156637,24.185075,DDoS
210360,13,12,8594,423,17.883711,13.233976,32.095902,BENIGN
143721,1604,4650,1282697,1500,0.616882,0.156978,56.447143,DDoS
506067,2809,1447,1061076,1326,0.416439,0.137323,60.764127,DDoS
162312,2837,1266,1773800,1140,0.767715,0.184474,48.586689,DDoS
64516,14,16,10688,658,18.429338,4.224935,9.566082,BENIGN
110923,18,12,4606,251,23.228624,0.721626,2.209706,BENIGN
252326,855,1848,1291372,1002,0.463472,0.384053,58.4032,DDoS
109376,20,11,4272,223,9.043227,13.912994,5.46173,BENIGN
386253,5029,4867,866402,1104,0.625972,0.369259,94.001325,DDoS
387158,5769,1757,1809160,1500,0.35226,0.132076,78.834915,DDoS
315467,22,13,7120,334,17.17037,11.878535,13.698018,BENIGN
176782,1690,416,672179,838,0.608454,0.089749,41.588856,DDoS
325768,3893,1819,798030,1092,0.750051,0.171042,97.876642,DDoS
214532,13,12,6939,503,20.648819,2.858157,2.285694,BENIGN
41824,14,17,25177,313,6.672083,6.574441,5.448278,BENIGN
563804,2771,4664,1149301,1157,0.306093,0.063466,141.971487,DDoS
161707,23,5,18935,612,49.466792,2.800556,13.549457,BENIGN
430339,16,16,1500,420,40.318754,10.025,10.606903,BENIGN
382092,1019,8852,2055971,1365,0.163389,0.093949,48.78968,DDoS
743765,2388,2480,2291407,1213,0.407452,0.114076,58.529675,DDoS
323733,5312,1908,494720,1386,0.234848,0.063193,34.621638,DDoS
272543,1002,758,493969,1500,0.837916,0.145128,37.413857,DDoS
139340,12,16,3969,979,23.582827,5.174554,5.395245,BENIGN
124888,28,11,21206,518,29.538279,7.436228,4.320236,BENIGN
136825,21,15,9476,754,19.207529,4.045077,3.028338,BENIGN
175120,2053,2558,333045,1362,0.440133,0.065864,68.327189,DDoS
151913,7338,3026,3511947,846,0.259496,0.162924,159.2557,DDoS
336956,14,19,6532,680,31.154361,5.618347,12.174844,BENIGN
59960,16,14,13337,306,20.889434,7.290983,7.821707,BENIGN
92864,15,15,11750,642,24.7301,1.093972,1.860698,BENIGN
257201,2395,748,1578427,1028,0.36829,0.587289,28.587782,DDoS
394443,1398,1374,744853,1500,0.453715,0.079313,40.233642,DDoS
116370,14,18,13633,332,17.130511,3.355436,26.99324,BENIGN
276954,2721,2092,733309,1500,0.57214,0.11664,29.252855,DDoS
65942,11,12,43342,254,2.769555,3.711316,12.306403,BENIGN
59814,1071,1495,1490962,1500,0.414013,0.3773,45.478922,DDoS
113837,18,18,5760,655,13.342497,3.434208,7.474673,BENIGN
433755,20,14,4772,688,18.615622,4.768027,3.685438,BENIGN
120614,20,13,10256,353,6.583219,3.581066,13.756512,BENIGN
122057,1525,1946,801228,1500,0.3992,0.178723,10.405057,DDoS
349128,1342,1265,1657224,1500,0.543145,0.11941,86.572263,DDoS
65869,24,15,3635,594,50.659786,3.963811,7.838292,BENIGN
128218,18,14,11899,311,10.819819,3.380522,4.588507,BENIGN
192862,20,12,18587,215,22.324454,3.734471,8.119076,BENIGN
134665,6623,3046,1640879,1500,0.26448,0.131075,55.780053,DDoS
76632,4216,1337,588458,1500,0.59477,0.269054,71.583391,DDoS
416674,1463,1582,712095,1500,0.584335,0.214596,31.076047,DDoS
406272,3811,3790,881865,1012,0.507627,0.098315,48.94014,DDoS
128702,19,14,13112,452,29.728038,4.175639,3.356546,BENIGN
208393,3374,1762,893313,1500,0.437517,0.401723,126.968984,DDoS
109236,23,13,14416,536,16.366954,7.615539,27.105114,BENIGN
98532,18,10,8079,637,5.795045,5.743002,8.138045,BENIGN
202315,12,15,12280,479,9.637478,6.867324,2.830458,BENIGN
99807,18,15,5511,711,11.659445,6.788031,2.920877,BENIGN
214891,2900,6474,743115,1500,0.364087,0.296721,73.336942,DDoS
157017,11,9,8763,909,10.100889,5.093869,6.504714,BENIGN
189360,3628,1412,685992,1500,0.232936,0.231148,43.421516,DDoS
200438,27,10,6441,355,10.863146,6.25071,4.382777,BENIGN
81038,17,16,8914,1008,17.330429,5.799222,2.79514,BENIGN
100607,14,17,5919,156,31.59651,3.241665,10.680729,BENIGN
211279,2714,1976,637083,1301,0.170005,0.220967,39.503217,DDoS
129850,20,9,3107,1349,6.268452,2.744431,6.838931,BENIGN
125300,17,14,17331,275,8.131618,11.381806,8.78154,BENIGN
628816,6498,1460,898157,1500,0.237873,0.144992,69.350567,DDoS
73269,13,12,25534,781,28.371477,7.895995,4.492679,BENIGN
301553,25,12,9336,883,20.465022,7.653978,13.745764,BENIGN
236915,18,19,19863,393,15.495138,11.062005,5.290484,BENIGN
290802,1765,1301,1344860,1422,0.671348,0.143587,63.240655,DDoS
174431,3072,3928,1656421,1500,0.409814,0.29811,38.279251,DDoS
338289,16,16,5736,756,11.358603,2.167634,29.991089,BENIGN
337670,2311,4721,492567,1500,0.505358,0.154503,79.688866,DDoS
60997,17,16,9926,419,31.087203,13.846662,5.827277,BENIGN
107765,22,15,7694,256,9.723945,15.463381,8.328135,BENIGN
93360,3943,2302,1258761,1500,1.134102,0.110656,65.037211,DDoS
149681,21,12,5329,433,8.584013,10.407878,6.073049,BENIGN
215046,1201,1451,732704,1500,0.267397,0.171055,45.04491,DDoS
228977,3548,1549,692620,991,1.076463,0.116045,31.1748,DDoS
51284,24,13,4317,571,10.550668,10.111839,11.94446,BENIGN
133093,22,18,35811,606,18.455049,2.149299,5.614996,BENIGN
126774,19,10,7024,203,38.166749,4.863083,2.983452,BENIGN
164078,5909,1746,419990,1500,0.542279,0.437917,10.958243,DDoS
269184,2403,3003,502088,1500,0.377489,0.276453,94.979002,DDoS
271240,13,18,6580,577,17.046813,17.832675,5.046684,BENIGN
41368,21,11,10526,924,21.332487,4.197562,8.608132,BENIGN
498290,2655,1678,1470238,1500,0.246385,0.477402,110.164574,DDoS
152951,936,2782,539099,1307,0.237362,0.204634,70.844088,DDoS
137641,1429,1747,708968,867,0.956641,0.106311,84.215646,DDoS
52544,20,20,5971,401,26.797312,5.605552,6.539389,BENIGN
108337,13,18,5056,821,65.048626,4.880728,12.926854,BENIGN
175917,25,10,8015,740,11.484024,4.356582,29.168101,BENIGN
62680,16,19,13690,447,10.025364,8.755339,7.352739,BENIGN
61761,22,19,2035,472,27.779977,13.649447,7.318391,BENIGN
61526,13,16,3894,861,24.705368,6.40448,1.787047,BENIGN
93995,21,12,7280,775,24.532957,2.078851,6.820157,BENIGN
326969,5880,1894,1687104,1500,1.133174,0.388486,53.007345,DDoS
242315,18,10,17636,594,61.871094,8.31068,6.852295,BENIGN
57437,19,17,5297,447,48.744826,8.915823,14.052019,BENIGN
131729,15,16,10401,317,16.771619,10.926333,7.339268,BENIGN
416945,8005,6503,840717,1500,1.021698,0.16872,133.574617,DDoS
350852,1183,1719,1021156,1500,0.608522,0.080013,102.793779,DDoS
90929,24,11,9748,717,31.544015,3.974931,14.610158,BENIGN
106212,4480,2709,293479,1500,0.551531,0.206275,58.911125,DDoS
198216,1809,2178,858191,595,0.690663,0.19555,86.909176,DDoS
478764,3821,758,421899,1500,0.426757,0.15981,48.147362,DDoS
137186,17,17,6754,259,10.031956,1.675878,5.379146,BENIGN
170836,1617,2166,270926,1144,0.790125,0.056504,86.538744,DDoS
199816,1455,5775,2730456,1175,0.472409,0.368259,37.756036,DDoS
92482,3571,1104,1200564,1325,0.88788,0.110728,21.098515,DDoS
842701,2909,4746,900733,1500,0.193966,0.158396,102.219185,DDoS
92637,21,9,11616,431,28.497515,8.431638,7.071269,BENIGN
84003,20,13,19242,532,8.347326,4.807753,6.932541,BENIGN
251708,5822,1685,1100703,1500,0.595223,0.27514,64.66057,DDoS
301777,1119,2660,340841,1500,0.230201,0.130352,80.064827,DDoS
147226,20,15,5034,398,29.645388,10.425613,26.690621,BENIGN
318892,20,11,5806,280,45.00634,10.458608,7.225135,BENIGN
165257,2181,1868,1204860,1434,0.448625,0.037335,52.646653,DDoS
156849,18,14,6165,283,17.367405,3.120052,10.711012,BENIGN
294397,1225,1264,1726596,1500,0.247707,0.122409,33.30968,DDoS
183245,3494,9284,777244,1425,0.641161,0.199369,36.090773,DDoS
129859,2726,1732,804659,1274,0.376186,0.308458,56.337432,DDoS
417248,20,15,6778,1410,16.029355,9.37191,4.88763,BENIGN
156990,22,6,3419,235,14.951824,12.062818,15.284825,BENIGN
46901,16,13,4057,296,20.384507,2.593333,11.315046,BENIGN
52913,20,12,5159,425,9.493161,3.008902,16.76864,BENIGN
173535,3343,765,434805,1381,1.699361,0.159405,79.970076,DDoS
243080,1401,1669,1896771,1355,0.315521,0.10254,84.915071,DDoS
102274,26,17,3716,555,9.454872,13.626624,3.804525,BENIGN
175910,12,15,15128,785,13.309014,3.885239,9.597823,BENIGN
208952,16,13,21612,783,12.959092,4.81106,1.563885,BENIGN
70907,15,12,5271,593,25.520721,5.095312,8.49254,BENIGN
60572,28,14,5866,998,10.019646,4.500579,8.015083,BENIGN
212454,17,17,13982,288,11.654258,25.696891,7.721189,BENIGN
126820,15,17,23065,639,17.777397,16.226179,14.491153,BENIGN
93925,29,12,25214,290,19.844489,16.574587,4.978762,BENIGN
221716,1917,2799,735329,566,1.463101,0.261382,56.475101,DDoS
